,Rho,RhoU,P
0,1.0,0.0,2.5000000000000004
1,0.9999969464338586,3.613015551274508e-06,2.499989312533566
2,0.999993194120213,8.052794683500247e-06,2.499976179517399
3,0.9999832138145924,1.9861364141112325e-05,2.4999412489084367
4,0.999960650824245,4.65572632344146e-05,2.499862280885218
5,0.9999108790895564,0.00010544155948823955,2.499688091827147
6,0.9998056878695011,0.00022988037383027445,2.4993199771652908
7,0.9995927636925475,0.0004816993177555319,2.498574971083604
8,0.999181189796042,0.0009682592423804461,2.4971353392050117
9,0.9984235431616554,0.001863174497101649,2.4944866454620027
10,0.9970992805416626,0.0034252791883631123,2.4898614891484194
11,0.9949072885145394,0.006004727695620102,2.482217615653741
12,0.9914797038833654,0.010024044306792648,2.47029402807842
13,0.9864224596797048,0.015921346727193173,2.4527643226071043
14,0.9793855308841524,0.024066483135995465,2.4284948221302605
15,0.9701348080776874,0.03466117811157815,2.396802811117992
16,0.9586174070304938,0.04768292533999952,2.3576789658190487
17,0.9449644603592409,0.06286269840952224,2.3117756906972833
18,0.9294743996161182,0.07976004489638414,2.2603181270591417
19,0.9125280763967356,0.09783251469937285,2.2047792932143797
20,0.8945314527354795,0.1165495337538157,2.146664921484637
21,0.8758539202026572,0.13545338997764308,2.08729831962729
22,0.8567881575296479,0.1541774493127071,2.0276915590854925
23,0.8375637366591585,0.17247205882707506,1.9686081248239613
24,0.8183402586017887,0.1901685804516419,1.9105515916372957
25,0.7992183920546168,0.20715123175634417,1.8538130103787462
26,0.7802754623343813,0.2233662228047596,1.7986004493998637
27,0.7615618275701641,0.23878511668439426,1.7450287515913088
28,0.7431000234565904,0.2533811378617286,1.6931157436471223
29,0.7249128888744034,0.2671541884459931,1.6428836278968861
30,0.7070245198537889,0.2801237537118977,1.5943577638975308
31,0.6894356203966856,0.29228999412849416,1.547495139006613
32,0.6721567624684246,0.30366024108825745,1.5022371638217067
33,0.6551550358375766,0.31424216769176133,1.4585735875200037
34,0.6385899963970821,0.3241394270293086,1.4165067799666584
35,0.6220518673246943,0.33314913913921856,1.3759091615534975
36,0.6064025311270024,0.3417454452762835,1.3368258630432963
37,0.5901962330822126,0.34914879053238407,1.299025088001685
38,0.5751963094811645,0.35641498518196,1.2627921482041709
39,0.5601561613750854,0.3628187005029235,1.227834295149694
40,0.5450597529743428,0.36832956675923595,1.1940484739973178
41,0.530791654965011,0.3735546793170558,1.1616151623210564
42,0.5169583626105199,0.37829160560464326,1.1304548466663484
43,0.5030175997634617,0.38214258181210553,1.1004360596965095
44,0.48935495225710507,0.38538439872115393,1.0715647533356898
45,0.4764345974985789,0.3883474949330704,1.0439984812491738
46,0.4641200771515983,0.3909711546462263,1.0176960277195906
47,0.4521469549083975,0.39290928790496155,0.9929038880969433
48,0.4404620447198869,0.39402133595859656,0.969766439942522
49,0.4304876825535404,0.3946915090300221,0.9502190035788024
50,0.42415806930196515,0.39559121023389304,0.9369104952483689
51,0.42433333647703575,0.39606948449739077,0.9363968981521726
52,0.42665451214609124,0.39539480285236855,0.9417421215581108
53,0.427179146262106,0.3947533537561918,0.9437749271063933
54,0.42625198217874105,0.3955020241999293,0.9409904703348684
55,0.42769576463416287,0.39618892441217607,0.9427005484990434
56,0.4266622063311865,0.39535030380849717,0.9419805217322041
57,0.425317762933498,0.3940808803490392,0.9412758710719941
58,0.42613178200485696,0.3948667014867462,0.9415079388731931
59,0.4284818585978713,0.3971242533620419,0.9425137362739524
60,0.42869264303665844,0.3974187325849883,0.9426803403863057
61,0.4254420937194195,0.3944785413657471,0.941288695515833
62,0.42240616242728507,0.3916707225272167,0.939793175203423
63,0.42396931881757294,0.3930835968772948,0.9401562367527686
64,0.42950037188149726,0.3982199100910274,0.9424003642432666
65,0.4333151721909756,0.40186378481984686,0.9442586990532318
66,0.4305016355150862,0.3993881644190904,0.9433829868166524
67,0.4221176187315342,0.3916357869410518,0.9397605677051432
68,0.414790906056496,0.3847202537408807,0.9361155667788593
69,0.4152456340702637,0.3850267594039902,0.935851956857322
70,0.4250701521576997,0.3941963087953542,0.940231432131955
71,0.43934713249604235,0.40762688415464204,0.9469793513239221
72,0.4499142153061331,0.41754125955142907,0.9518839154686696
73,0.45013767611944416,0.4176761698890036,0.9517301006019736
74,0.43766666680437716,0.4059351573728516,0.9457843223179873
75,0.41464324505167977,0.38446987942357064,0.9355138509605161
76,0.3859418273502959,0.3579092609670628,0.9233919251757199
77,0.3567175175659421,0.3309934114411805,0.9115369470654565
78,0.3306129717866409,0.306884929826198,0.9007433329501622
79,0.30937969041278257,0.2869673796295557,0.8907945679862306
80,0.2934780573935626,0.2717844555471736,0.8822757664691927
81,0.28277970632372446,0.26187731793555463,0.8777444901658392
82,0.2765976110064796,0.2571339200283247,0.8790874765652391
83,0.27321253764841674,0.25521433026482576,0.8826180661277848
84,0.2702331416038856,0.25203505512931684,0.8797044651662552
85,0.2664085061975738,0.24566131662307997,0.8665699054956706
86,0.2631278456361792,0.23967117306395025,0.8531197753428067
87,0.2631920676577946,0.24050199708461972,0.8563128978420085
88,0.2672703523522949,0.2498511308489766,0.8808306560360128
89,0.2716098749460387,0.2596623883873776,0.9063033371917864
90,0.270718862589175,0.2578319644690969,0.9018598823823002
91,0.2635158723824361,0.24207391948987683,0.8616948090050737
92,0.2564352392479045,0.22667873925527188,0.8224031906699683
93,0.25738018233854537,0.22870704744820886,0.8275771526800708
94,0.2677567432734452,0.2512504626535878,0.8849703303682399
95,0.27597014334628533,0.2695667643782426,0.9320705795816393
96,0.2758521180386454,0.26857785464072753,0.9285941316824324
97,0.2516648562518322,0.21763966851518335,0.7968490530106775
98,0.2662344687967465,0.25389283323011136,0.8802957436781499
99,0.1895312563471052,0.11584048476719562,0.5413607659109521
100,0.125,0.0,0.25000000000000006
